配信順,楽曲ID,楽曲名,読み仮名,見出し用,再生時間,楽曲定数,ユニット,MV,配信日,Ap配信日,Lv.Ea,Lv.No,Lv.Ha,Lv.Ex,Lv.Ma,Lv.Ap,,,,読み1,読み2,読み3,読み4,読み5,読み6,読み7,読み8,読み9,読み10,
37,81,夜咄ディセイブ,よばなしでぃせいぶ,よ,140,119,3_VBS,原曲,2020/10/09,,8,14,19,26,30,,,,,でぃせいぶ,,,,,,,,,,
38,83,Gimme×Gimme,ぎみぎみ,き,134.9,117,0_VS,-,2020/10/10,,6,11,18,26,29,,,,,じみじみ,ぎみぎみ,,,,ｇ,ぎｍ,ぎっｍ,ぎっめ,ぎっめｇ,
39,11,ビバハピ,びばはぴ,ひ,94,106,2_MMJ,2D,2020/10/11,,6,12,17,24,29,,,,,,,,,,,,,,,
40,84,ジャンキーナイトタウンオーケストラ,じゃんきーないとたうんおーけすとら,し,142.3,118,0_VS,-,2020/10/12,,6,13,18,26,31,,,,,ないとたうん,おーけすとら,,,,,,,,,
41,36,ミラクルペイント,みらくるぺいんと,み,146.2,120,4_WxS,原曲/2D,2020/10/13,,9,12,18,25,30,,,,,みらぺ,,,,,,,,,,
42,86,on the rocks,おんざろっくす,お,132.8,116,0_VS,-,2020/10/14,,7,11,16,23,27,,,,,,,,,,おｎ,おんｔｈ,おんてぇｒ,おんてぇろｃｋｓ,,
43,61,携帯恋話,けいたいれんわ,け,139.1,118,5_25,2D,2020/10/15,,8,12,18,25,29,,,,,,,,,,,,,,,
44,45,39みゅーじっく！,さんきゅーみゅーじっく,さ,119.1,113,0_VS,原曲,2020/10/16,,6,11,16,23,28,,,,,さんじゅうきゅう,さんきゅう,,,,,,,,,
45,93,青く駆けろ！,あおくかけろ,あ,116.9,113,1_L/n,-,2020/10/17,,8,13,17,24,27,30,,,,あおかけ,,,,,,,,,,
46,64,ステラ,すてら,す,133.1,116,1_L/n,3D,2020/10/18,,8,13,17,26,30,31,,,,,,,,,,,,,,
47,85,Leia - Remind,れいありまいんど,れ,130.6,116,0_VS,-,2020/10/19,,9,13,18,25,29,,,,,,,,,,ｌ,ぇいあｒ,ぇいあれｍ,ぇいあれみｎ,ぇいあれみんｄ,
48,62,ジャックポットサッドガール,じゃっくぽっとさっどがーる,し,83.5,103,5_25,原曲/2D,2020/10/20,,9,13,18,26,29,,,,,じゃくぽ,,,,,,,,,,
49,70,メルティランドナイトメア,めるてぃらんどないとめあ,め,118,111,2_MMJ,3D,2020/10/25,,6,12,17,24,27,,,,,,,,,,,,,,,
50,92,乙女解剖,おとめかいぼう,お,111,110,5_25,原曲/2D,2020/11/01,,5,12,16,24,28,,,,,,,,,,,,,,,
51,52,potatoになっていく,ぽてとになっていく,ほ,107.6,109,4_WxS,2D/3D,2020/11/07,,5,11,17,24,29,25,,,,,,,,,ｐ,ぽｔ,ぽたｔ,ぽたとになっていく,,
52,113,ローリンガール,ろーりんがーる,ろ,120.9,114,0_VS,-,2020/11/14,,8,12,18,26,31,,,,,ろおりんがある,,,,,,,,,,
53,99,モア！ジャンプ！モア！,もあじゃんぷもあ,も,123.6,115,2_MMJ,2D,2020/11/19,,9,13,18,26,31,30,,,,もじも,,,,,,,,,,
54,114,裏表ラバーズ,うらおもてらばーず,う,110.5,110,0_VS,-,2020/11/21,,8,12,18,26,30,,,,,,,,,,,,,,,
55,115,アンノウン・マザーグース,あんのうんまざーぐーす,あ,136.7,118,0_VS,-,2020/11/23,,8,12,17,26,30,,,,,まざーぐーす,,,,,,,,,,
56,108,愛されなくても君がいる,あいされなくてもきみがいる,あ,140.1,119,0_VS,原曲,2020/11/30,,7,12,16,23,27,,,,,あいきみ,,,,,,,,,,
57,75,ウミユリ海底譚,うみゆりかいていたん,う,102.8,108,1_L/n,2D/3D,2020/12/01,,6,13,17,23,28,,,,,,,,,,,,,,,
58,55,Forward,ふぉわーど,ふ,114.9,111,3_VBS,2D/3D,2020/12/08,,6,11,16,24,28,,,,,,,,,,ｆ,ふぉｒｗ,ふぉｒわｒｄ,,,
59,74,独りんぼエンヴィー,ひとりんぼえんヴぃー,ひ,74.9,100,5_25,2D/3D,2020/12/14,,6,11,16,22,26,,,,,えび,えんゔぃー,えんゔぃい,えんびー,えんびい,,,,,,
60,103,ニジイロストーリーズ,にじいろすとーりーず,に,121.6,113,4_WxS,2D,2020/12/20,,9,13,18,25,29,,,,,にじすと,,,,,,,,,,
61,117,ODDS＆ENDS,おっずあんどえんず,お,93.8,106,0_VS,-,2020/12/24,,8,12,18,24,29,,,,,おずえん,,,,,おｄ,おっｄｓ,おっｄさｎ,おっｄさんｄ,おっｄさんでｎ,
62,91,ドラマツルギー,どらまつるぎー,と,95.1,105,1_L/n,原曲,2020/12/28,,7,12,17,25,29,,,,,,,,,,,,,,,
63,46,グリーンライツ・セレナーデ,ぐりーんらいつせれなーで,く,125.4,114,0_VS,原曲,2020/12/29,,9,14,19,27,31,,,,,せれなーで,,,,,,,,,,
64,87,恋愛裁判,れんあいさいばん,れ,132.6,116,2_MMJ,原曲/2D,2020/12/30,,6,12,17,22,28,,,,,,,,,,,,,,,
65,118,＊ハロー、プラネット。,はろーぷらねっと,は,117.9,112,0_VS,原曲,2020/12/31,,6,10,17,24,29,,,,,はろぷら,はろおぷらねっと,,,,,,,,,
66,110,千本桜,せんぼんざくら,せ,124.1,114,0_VS,-,2021/01/01,,7,14,20,26,32,,,,,,,,,,,,,,,
67,100,ECHO,えこー,え,99.3,106,3_VBS,2D,2021/01/02,,6,12,16,23,26,,,,,えこお,,,,,えｃｈ,えちょ,,,,
68,88,チュルリラ・チュルリラ・ダッダッダ！,ちゅるりらちゅるりらだっだっだ,ち,143.4,119,4_WxS,2D/3D,2021/01/03,,9,13,18,26,31,,,,,,,,,,,,,,,
69,72,ブレス・ユア・ブレス,ぶれすゆあぶれす,ふ,94.9,104,0_VS,原曲,2021/01/04,,7,13,17,24,29,,,,,ぶれぶれ,,,,,,,,,,
70,94,とても痛い痛がりたい,とてもいたいいたがりたい,と,113.4,111,5_25,-,2021/01/05,,6,13,18,23,28,,,,,いたい,,,,,,,,,,
71,97,霽れを待つ,はれをまつ,は,114.3,111,1_L/n,2D,2021/01/10,,7,12,17,26,31,,,,,はれまつ,,,,,,,,,,
72,119,ワールズエンド・ダンスホール,わーるずえんどだんすほーる,わ,102.5,108,0_VS,-,2021/01/14,,7,12,18,26,30,,,,,わだ,わあるずえんどだんすほおる,だんすほーる,だんすほおる,,,,,,,
73,109,ヒビカセ,ひびかせ,ひ,115.2,111,0_VS,原曲,2021/01/18,,7,12,17,25,28,,,,,,,,,,,,,,,
74,89,Color of Drops,からーおぶどろっぷす,か,114.1,111,2_MMJ,3D,2021/01/29,2024/05/09,6,12,16,23,28,26,,,,こｄ,cod,,,,ｃ,こｌ,こぉｒ,こぉろｆｄｒ,こぉろｆｄろｐｓ,
75,101,RAD DOGS,らっどどっぐす,ら,140.2,119,3_VBS,2D,2021/01/31,,6,12,18,26,30,,,,,らどど,,,,,ｒ,らｄ,らっｄ,らっどｇｓ,,
76,107,ミルククラウン・オン・ソーネチカ,みるくくらうんおんそーねちか,み,134.9,114,2_MMJ,2D,2021/02/06,,7,13,18,26,30,,,,,みるくら,,,,,,,,,,
77,8,タイムマシン,たいむましん,た,124.5,114,1_L/n,2D/3D,2021/02/10,,6,11,16,23,27,,,,,,,,,,,,,,,
78,15,drop pop candy,どろっぷぽっぷきゃんでぃ,と,106,108,3_VBS,3D,2021/02/15,,6,12,17,25,29,,,,,どろぽ,ｄｐｃ,,,,ｄｒ,ｄろｐ,ｄろっｐ,ｄろっぽｐｃ,,
79,122,ポジティブ☆ダンスタイム,ぽじてぃぶだんすたいむ,ほ,116,112,4_WxS,2D,2021/02/19,,9,14,18,26,31,,,,,ぽじだん,,,,,,,,,,
80,128,Brand New Day,ぶらんどにゅーでい,ふ,131.1,116,0_VS,-,2021/02/22,,9,14,19,28,32,35,,,,ｂんｄ,bnd,,,,ｂｒ,ｂらｎ,ｂらんｄｎ,ｂらんｄねｗｄ,ｂらんｄねｗだｙ,
81,90,限りなく灰色へ,かぎりなくはいいろへ,か,121.7,113,5_25,3D,2021/02/26,,6,12,18,26,31,,,,,はいいろ,,,,,,,,,,
